StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_8_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q16,Q26,Q30,Q23,Q25,Q29,Q17,Q27,Q28,Q42,Q18,Q19,Q39,Q5_1,Q5_2,Q5_3,Q6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q36_1,Q36_2,Q36_3,Q36_4,Q38,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Wat is jouw geslacht?,In welk jaar ben je geboren?,Wat is de door je hoogst genoten opleiding die je hebt voltooid? - Selected Choice,Wat is de door je hoogst genoten opleiding die je hebt voltooid? - Anders: - Text,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik probeer situaties te vermijden waarin iemand anders zegt wat ik moet doen,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik geef liever leiding dan dat ik leiding krijg,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Anderen weten meestal wat het beste voor me is,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik neem graag mijn eigen beslissingen,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Bij een groepstaak heb ik liever dat een ander de leiding neemt,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik geef liever opdrachten dan dat ik ze krijg,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik zou willen dat ik veel van mijn dagelijkse beslissingen op anderen kon afschuiven,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik probeer situaties te vermijden waarin iemand anders me moet vertellen wat ik moet doen,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Er zijn veel situaties waarin ik liever geen keus zou hebben dan dat ik een beslissing moet nemen,Geef in de volgende lijst bij iedere stelling aan in hoeverre deze op jou van toepassing is. - Ik wacht liever af tot iemand anders het probleem oplost dan dat ik me er zelf druk over maak,Hoe heet deze politicus?,Bij welke partij hoort deze politicus?,Welke functie heeft deze politicus?,Hoe heet deze politicus?,Bij welke partij hoort deze politicus?,Welke functie heeft deze politicus?,Hoe heet deze politicus?,Bij welke partij hoort deze politicus?,Welke functie heeft deze politicus?,Hoe heet deze politicus?,Bij welke partij hoort deze politicus?,Welke functie heeft deze politicus?,Wat denk je: Hoeveel van de vorige vragen over politici heb je correct beantwoord?,In hoeverre ben je het eens met de volgende stellingen: - Ik heb een goed beeld van de belangrijkste politieke problemen in ons land.,"In hoeverre ben je het eens met de volgende stellingen: - Soms lijkt de politiek zo ingewikkeld, dat mensen zoals ik moeilijk kunnen begrijpen wat er speelt.",In hoeverre ben je het eens met de volgende stellingen: - Ik ben beter op de hoogte van wat er in de politiek speelt dan de meeste mensen in Nederland.,Hoe geïnteresseerd ben je in de politiek?,Hoeveel dagen per week... - ...kijk je naar het NOS-Journaal of RTL nieuws?,Hoeveel dagen per week... - ...kijk je naar actualiteitenprogramma's of reportages?,Hoeveel dagen per week... - ...lees je een krant op papier of een tablet?,Hoeveel dagen per week... - ...lees of bekijk je nieuws op je computer?,Hoeveel dagen per week... - ...lees of bekijk je het nieuws op jouw mobiele telefoon?,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Buitenlands nieuws,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Binnenlands nieuws,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Economie,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Crime,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Sport,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Entertainment,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Milieu,Hoe geïnteresseerd ben je in de volgende soorten nieuws? - Immigratie,In hoeverre ben je eens met de volgende stellingen? - Ik heb duidelijke voorkeuren wat nieuws betreft.,In hoeverre ben je eens met de volgende stellingen? - Ik weet welke soort nieuws ik leuk vind.,In hoeverre ben je eens met de volgende stellingen? - Meestal laat ik iemand anders nieuws voor me kiezen.,In hoeverre ben je eens met de volgende stellingen? - Ik vertrouw op de meningen van anderen wanneer ik nieuws kies.,"Als je op ""verder"" klikt, ga je terug naar de nieuwswebsite 3bij3 en kan je een account aanmaken. 
Om deel te nemen aan het onderzoek moet je de website op 10 verschillende dagen kort gebruiken (2-3 artikelen lezen) en een aantal punten verzamelen voor interacties (meer gedetailleerde informatie is te vinden in de FAQs op de website). Als je klaar bent met het onderzoek, krijg je een beloning van 5€.
Veel plezier met de website!",id
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID16""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID29""}","{""ImportId"":""QID17""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID42""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID39""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID31_7""}","{""ImportId"":""QID31_8""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID38""}","{""ImportId"":""id""}"
2019-10-16 12:25:30,2019-10-16 12:29:43,0,77.160.5.105,100,252,1,2019-10-16 12:29:43,R_bPhwEW8ZAYT7gop,,,,,52.4976043701171875,4.692596435546875,anonymous,EN,1,14,4,,2,6,2,6,2,5,2,2,2,2,6,5,1,7,1,7,2,4,8,2,7,3,4,6,2,6,6,7,4,6,8,8,7,7,7,6,6,2,6,6,4,4,2,2,2,1611732070
2019-10-16 12:23:30,2019-10-16 12:32:00,0,213.127.127.18,100,509,1,2019-10-16 12:32:00,R_1Q4w0XZdS7ol1qw,,,,,51.960296630859375,4.5536956787109375,anonymous,EN,1,12,6,,6,5,2,7,4,5,4,5,3,1,6,5,1,7,2,7,2,9,8,2,7,1,5,6,5,4,4,4,3,3,8,5,4,5,5,2,5,1,1,2,4,5,1,1,1,1484776613
2019-10-16 12:35:19,2019-10-16 12:39:25,0,86.91.214.44,100,245,1,2019-10-16 12:39:25,R_3FUrWailZTULrcR,,,,,52.8511962890625,5.0334930419921875,anonymous,EN,2,27,5,,4,4,4,4,2,4,4,4,4,4,6,5,3,7,2,7,2,99,6,2,7,3,9,7,7,4,7,8,5,1,1,1,7,7,7,7,7,7,7,7,4,7,1,4,1,1484771143
2019-10-16 12:29:02,2019-10-16 12:41:07,0,80.255.245.234,100,725,1,2019-10-16 12:41:08,R_1IxZ5ooMruBDGVR,,,,,51.4365997314453125,5.4801025390625,anonymous,EN,1,31,7,,5,3,2,3,3,4,4,3,4,4,99,99,99,7,2,7,99,99,99,2,7,3,3,5,5,5,4,3,3,4,5,6,3,3,2,2,5,3,3,3,5,5,5,5,1,1484776334
2019-10-16 12:36:03,2019-10-16 12:45:35,0,86.92.159.23,100,571,1,2019-10-16 12:45:35,R_3G2kzvIp7hQTt9m,,,,,52.4582977294921875,4.822998046875,anonymous,EN,1,6,5,,5,5,2,7,4,4,2,6,2,2,6,5,1,7,2,7,2,9,8,2,7,1,5,7,2,5,6,3,3,2,8,8,7,5,4,7,1,4,7,7,4,6,1,2,2,1644821312
2019-10-16 12:43:21,2019-10-16 12:47:04,0,85.146.125.105,100,222,1,2019-10-16 12:47:04,R_2AR4jZamlvvCUjg,,,,,51.7001953125,5.306793212890625,anonymous,EN,1,47,4,,5,4,4,5,4,4,3,4,4,4,6,3,1,7,2,7,1,1,1,2,7,3,6,4,5,4,5,8,7,3,6,3,6,6,5,5,4,6,5,5,5,6,3,2,1,1534242421
2019-10-16 12:45:49,2019-10-16 12:48:16,0,86.92.159.23,100,146,1,2019-10-16 12:48:16,R_2OUsuMDqVpzDBH8,,,,,52.4949951171875,4.790802001953125,anonymous,EN,1,6,5,,7,5,1,7,3,5,1,7,2,2,6,5,1,7,2,7,2,9,8,2,7,1,9,7,2,6,6,3,3,3,8,8,7,5,4,7,1,4,7,7,5,6,1,1,1,1644821312
2019-10-16 12:46:28,2019-10-16 12:50:53,0,188.206.103.76,100,264,1,2019-10-16 12:50:53,R_211db7WqRV1j0HR,,,,,52.0782928466796875,4.86279296875,anonymous,EN,2,11,4,,6,6,3,6,3,6,3,6,2,3,99,99,99,99,99,99,99,99,99,99,99,1,1,3,5,2,3,2,3,1,3,3,3,3,2,5,1,6,5,2,5,2,1,2,1,1487847468
