"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
1,0,1,0,1,0,1,0,0,0,0,"2019-09-25 12:13:18",3
2,1,1,1,0,0,0,0,0,0,0,"2019-10-15 10:10:43",5
3,1,0,0,0,0,0,0,0,1,0,"2019-10-16 16:26:10",75
4,1,0,0,0,0,0,0,0,0,0,"2019-10-16 16:27:57",75
5,1,0,0,0,0,0,0,0,1,0,"2019-10-16 17:50:15",54
6,1,0,1,0,0,0,0,1,0,0,"2019-10-17 06:24:26",257
7,1,1,0,1,0,0,0,0,0,0,"2019-10-17 07:02:10",268
8,0,0,0,0,0,0,0,0,1,0,"2019-10-17 09:02:18",75
9,0,0,0,0,0,0,0,0,1,0,"2019-10-17 11:56:39",370
10,0,0,0,0,0,0,0,0,0,1,"2019-10-17 13:58:39",382
11,0,0,0,0,0,0,0,0,0,0,"2019-10-17 17:13:20",72
12,0,0,0,0,0,0,0,0,1,0,"2019-10-17 17:13:41",72
13,0,1,0,0,0,0,0,0,0,0,"2019-10-17 17:32:19",54
14,0,0,0,0,0,0,0,0,1,0,"2019-10-17 17:38:23",54
15,0,0,0,0,0,0,0,0,0,0,"2019-10-17 20:25:50",346
16,1,0,0,0,0,0,0,1,1,0,"2019-10-17 20:27:34",346
17,1,0,0,0,0,0,0,1,0,0,"2019-10-17 20:56:38",368
18,0,0,0,0,0,0,0,1,1,0,"2019-10-17 21:58:18",346
19,0,0,0,0,0,0,0,0,1,0,"2019-10-17 22:44:17",54
20,0,0,0,0,0,0,0,0,1,0,"2019-10-17 22:44:20",54
21,0,0,0,0,0,0,0,0,1,0,"2019-10-17 22:44:24",54
22,0,0,0,0,0,0,0,0,1,0,"2019-10-17 22:44:25",54
23,0,0,0,0,0,0,0,0,1,0,"2019-10-17 22:59:18",346
24,1,1,0,1,0,0,0,0,0,0,"2019-10-18 07:36:02",268
25,1,1,0,0,0,0,0,1,0,0,"2019-10-18 09:04:14",477
26,1,1,0,0,0,0,0,0,1,0,"2019-10-18 09:15:14",484
27,0,0,1,1,0,0,0,1,0,0,"2019-10-18 09:25:36",62
28,0,0,0,0,0,0,0,1,1,0,"2019-10-18 11:09:44",346
29,0,0,0,0,0,0,0,0,0,1,"2019-10-18 11:16:05",346
30,0,0,0,0,0,0,0,1,1,0,"2019-10-18 11:17:45",346
31,0,0,0,0,0,0,0,0,0,0,"2019-10-18 12:17:35",535
32,0,0,0,0,0,0,0,0,0,1,"2019-10-18 12:53:32",547
33,0,0,0,0,0,0,0,1,1,1,"2019-10-18 23:13:08",346
34,0,0,0,0,0,0,0,0,1,0,"2019-10-19 02:24:41",54
35,0,0,0,1,0,0,0,0,0,0,"2019-10-19 07:19:47",685
