"id","num_recommended","timestamp","user_id","real"
23,8,"2019-10-23 10:46:13",314,8
24,6,"2019-10-23 11:53:09",134,6
25,6,"2019-10-23 13:12:58",36,6
26,6,"2019-10-23 21:32:00",279,6
27,6,"2019-10-24 03:26:04",454,0
28,6,"2019-10-24 03:26:45",454,5
29,6,"2019-10-24 08:42:49",17,6
30,6,"2019-10-24 09:03:37",334,5
31,9,"2019-10-24 11:19:01",331,9
32,6,"2019-10-24 12:16:36",279,6
33,6,"2019-10-24 12:16:39",279,6
34,6,"2019-10-24 12:16:47",279,8
35,6,"2019-10-24 17:06:12",88,1
36,6,"2019-10-24 17:37:09",35,6
37,8,"2019-10-24 17:39:34",35,8
38,6,"2019-10-24 20:44:27",191,9
39,6,"2019-10-24 20:45:11",191,5
40,7,"2019-10-25 06:51:07",623,7
41,6,"2019-10-25 08:38:00",241,9
42,6,"2019-10-25 08:46:08",334,9
43,9,"2019-10-25 10:29:19",432,9
44,6,"2019-10-25 10:30:13",383,6
45,6,"2019-10-25 16:22:53",631,6
46,6,"2019-10-25 17:36:43",134,6
47,6,"2019-10-25 17:37:40",134,6
48,9,"2019-10-25 17:37:46",134,9
49,6,"2019-10-25 17:59:31",637,6
50,6,"2019-10-25 18:32:34",383,6
51,6,"2019-10-25 19:18:44",560,6
52,6,"2019-10-25 20:01:30",191,0
53,6,"2019-10-26 06:56:37",311,6
54,6,"2019-10-26 06:56:55",311,6
55,6,"2019-10-26 06:56:59",311,3
56,6,"2019-10-26 06:59:23",311,9
57,6,"2019-10-26 07:01:16",463,8
58,6,"2019-10-26 10:51:49",383,6
59,6,"2019-10-26 18:52:34",780,6
60,6,"2019-10-26 18:52:37",780,6
61,6,"2019-10-26 23:54:07",222,9
62,9,"2019-10-27 10:10:58",146,9
63,9,"2019-10-27 10:14:43",146,9
64,6,"2019-10-27 13:23:03",150,6
65,6,"2019-10-27 13:23:07",150,6
66,9,"2019-10-27 13:23:33",150,9
67,9,"2019-10-27 13:26:31",150,9
68,6,"2019-10-27 15:45:06",759,6
69,6,"2019-10-27 17:06:05",56,6
70,6,"2019-10-27 18:58:33",682,7
71,6,"2019-10-27 20:58:08",56,6
72,6,"2019-10-27 20:58:16",56,6
73,6,"2019-10-27 21:07:05",273,6
74,9,"2019-10-27 21:07:19",273,9
75,6,"2019-10-27 22:38:54",143,6
76,6,"2019-10-27 22:50:19",103,6
77,9,"2019-10-27 22:50:45",103,9
78,6,"2019-10-28 08:15:11",277,6
79,7,"2019-10-28 09:53:11",792,7
80,6,"2019-10-28 11:00:24",308,9
81,6,"2019-10-28 11:12:16",55,6
82,6,"2019-10-28 11:12:22",55,9
83,6,"2019-10-28 11:25:48",939,6
84,8,"2019-10-28 11:25:57",939,8
85,7,"2019-10-28 13:10:17",208,7
86,7,"2019-10-28 13:25:08",24,7
87,6,"2019-10-28 15:01:33",458,0
88,6,"2019-10-28 15:08:42",793,6
89,6,"2019-10-28 15:08:44",793,6
90,9,"2019-10-28 15:21:11",793,9
91,9,"2019-10-28 15:21:14",793,9
92,6,"2019-10-28 16:40:11",457,6
93,6,"2019-10-28 16:42:43",457,2
94,6,"2019-10-28 17:37:25",950,9
95,6,"2019-10-28 17:37:46",950,5
96,6,"2019-10-28 18:01:10",836,6
97,6,"2019-10-28 18:11:41",836,6
98,9,"2019-10-28 18:12:15",836,9
99,6,"2019-10-28 18:15:38",950,7
100,6,"2019-10-28 18:17:46",973,6
101,5,"2019-10-28 23:19:26",152,5
102,6,"2019-10-29 01:32:21",950,8
103,6,"2019-10-29 07:03:33",701,6
104,6,"2019-10-29 08:52:58",71,6
105,6,"2019-10-29 08:53:39",71,6
106,6,"2019-10-29 08:53:42",71,6
107,6,"2019-10-29 09:06:47",185,6
108,9,"2019-10-29 09:55:11",360,9
109,6,"2019-10-29 10:39:34",344,8
110,6,"2019-10-29 15:13:48",569,8
111,6,"2019-10-29 16:12:34",556,8
112,6,"2019-10-29 20:41:57",658,6
113,6,"2019-10-30 07:16:27",569,8
114,6,"2019-10-30 07:34:05",71,6
115,6,"2019-10-30 07:54:10",701,8
116,6,"2019-10-30 09:11:10",530,9
117,6,"2019-10-30 10:05:06",556,6
118,7,"2019-10-30 11:21:22",24,7
119,8,"2019-10-30 12:02:26",754,8
120,6,"2019-10-30 12:02:44",510,6
121,6,"2019-10-30 12:38:56",569,8
122,6,"2019-10-30 16:26:19",494,6
123,6,"2019-10-30 16:26:55",494,6
124,9,"2019-10-30 17:20:23",150,9
125,4,"2019-10-30 17:20:44",150,4
126,6,"2019-10-30 19:14:03",494,6
127,6,"2019-10-31 10:07:30",344,2
128,0,"2019-10-31 11:27:50",24,0
129,5,"2019-10-31 11:29:27",24,5
130,6,"2019-10-31 11:39:18",569,8
131,9,"2019-10-31 12:38:39",585,9
132,6,"2019-10-31 15:08:23",607,6
133,6,"2019-10-31 15:41:28",569,8
134,6,"2019-10-31 15:42:00",588,6
135,4,"2019-10-31 15:42:27",588,4
136,6,"2019-10-31 16:07:05",569,2
137,6,"2019-10-31 16:07:10",569,2
138,6,"2019-10-31 17:19:59",736,0
139,9,"2019-11-01 04:05:23",837,9
140,6,"2019-11-01 09:58:31",551,9
141,6,"2019-11-01 10:02:35",551,1
142,6,"2019-11-01 11:56:54",344,5
143,6,"2019-11-01 12:09:21",569,2
144,6,"2019-11-01 13:29:51",736,9
145,6,"2019-11-01 13:29:54",736,9
146,5,"2019-11-01 13:52:59",24,5
147,5,"2019-11-01 13:53:06",24,5
148,6,"2019-11-01 20:29:18",258,9
149,9,"2019-11-02 08:52:27",837,9
150,6,"2019-11-02 10:00:03",407,6
151,6,"2019-11-02 10:15:00",407,6
152,7,"2019-11-02 10:15:54",407,7
153,6,"2019-11-02 18:01:08",524,6
154,6,"2019-11-03 06:45:16",689,6
155,9,"2019-11-03 08:46:10",24,9
156,6,"2019-11-03 22:57:59",653,4
157,6,"2019-11-03 22:58:04",653,8
158,6,"2019-11-04 09:59:44",670,9
159,6,"2019-11-04 13:59:41",173,5
160,6,"2019-11-04 14:00:30",173,3
161,6,"2019-11-04 14:06:38",173,2
162,6,"2019-11-04 21:34:45",982,6
163,6,"2019-11-05 07:35:45",689,5
164,6,"2019-11-05 08:56:11",670,6
165,6,"2019-11-05 14:26:11",1038,6
166,6,"2019-11-05 19:01:51",852,6
167,6,"2019-11-05 23:18:22",1106,6
168,6,"2019-11-05 23:19:21",1106,2
169,1,"2019-11-06 06:01:33",1038,1
170,6,"2019-11-06 07:50:20",689,6
171,6,"2019-11-07 08:51:35",1119,6
172,6,"2019-11-07 08:51:38",1119,6
173,6,"2019-11-07 10:56:08",551,9
174,6,"2019-11-07 13:19:47",1119,2
175,6,"2019-11-08 10:47:22",551,7
176,6,"2019-11-11 09:45:16",1023,6
177,6,"2019-11-12 11:12:08",1076,6
178,6,"2019-11-13 05:15:49",468,6
179,6,"2019-11-13 05:15:52",468,6
